AnzscoCode,Level,Date,NoOfVacancies,State,Title
0,1,01/04/2006,220546.24,AUST,AUSTRALIAN TOTAL
1,2,01/04/2006,22410.05,AUST,MANAGERS
11,3,01/04/2006,487.55,AUST,"Chief Executives, Managing Directors & Legislators"
12,3,01/04/2006,120.48,AUST,Farmers and Farm Managers
14,3,01/04/2006,4639.44,AUST,"Hospitality, Retail and Service Managers"
1A,3,01/04/2006,9777.8,AUST,Corporate Managers
1B,3,01/04/2006,5480.26,AUST,"Construction, Production and Distribution Managers"
1C,3,01/04/2006,1887.35,AUST,"Health, Education, ICT and Other Managers"
2,2,01/04/2006,53251.47,AUST,PROFESSIONALS
21,3,01/04/2006,964.09,AUST,Arts and Media Professionals
24,3,01/04/2006,1203.55,AUST,Education Professionals
26,3,01/04/2006,13378.14,AUST,ICT Professionals
27,3,01/04/2006,4487.1,AUST,"Legal, Social and Welfare Professionals"
2A,3,01/04/2006,16411.35,AUST,"Business, Finance and Human Resource Professionals"
2B,3,01/04/2006,1579.01,AUST,Information Professionals
2C,3,01/04/2006,2632.82,AUST,"Sales, Marketing & Public Relations Professionals"
2D,3,01/04/2006,1832.8,AUST,"Transport and Design Professionals, and Architects"
2E,3,01/04/2006,5529.35,AUST,Engineers
2F,3,01/04/2006,1071.56,AUST,Science Professionals and Veterinarians
2G,3,01/04/2006,1430.85,AUST,Health Diagnostic and Therapy Professionals
2H,3,01/04/2006,2660.34,AUST,Medical Practitioners and Nurses
3,2,01/04/2006,24162.52,AUST,TECHNICIANS AND TRADES WORKERS
31,3,01/04/2006,5566.66,AUST,"Engineering, ICT and Science Technicians"
32,3,01/04/2006,6124.17,AUST,Automotive and Engineering Trades Workers
33,3,01/04/2006,2596.88,AUST,Construction Trades Workers
34,3,01/04/2006,2374.1,AUST,Electrotechnology and Telecommunications Trades Workers
35,3,01/04/2006,4165.64,AUST,Food Trades Workers
36,3,01/04/2006,955.56,AUST,Skilled Animal and Horticultural Workers
3A,3,01/04/2006,1794.82,AUST,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/04/2006,592.93,AUST,"Jewellers, Arts and Other Trades Workers"
4,2,01/04/2006,12856.46,AUST,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/04/2006,726.3,AUST,Health and Welfare Support Workers
42,3,01/04/2006,4073.05,AUST,Carers and Aides
43,3,01/04/2006,5063.97,AUST,Hospitality Workers
44,3,01/04/2006,1225.71,AUST,Protective Service Workers
45,3,01/04/2006,1843.43,AUST,"Sports, Travel and Personal Service Workers"
5,2,01/04/2006,42606.22,AUST,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/04/2006,10530.27,AUST,Numerical Clerks
56,3,01/04/2006,1021.91,AUST,Clerical and Office Support Workers
59,3,01/04/2006,4665.78,AUST,Other Clerical and Administrative Workers
5A,3,01/04/2006,7141.6,AUST,"Office Managers, Administrators and Secretaries"
5B,3,01/04/2006,19252.56,AUST,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/04/2006,24272.29,AUST,SALES WORKERS
61,3,01/04/2006,7601.75,AUST,Sales Representatives and Agents
62,3,01/04/2006,13792.5,AUST,Sales Assistants and Salespersons
63,3,01/04/2006,2879.96,AUST,Sales Support Workers
7,2,01/04/2006,12368.62,AUST,MACHINERY OPERATORS AND DRIVERS
71,3,01/04/2006,2400.11,AUST,Machine and Stationary Plant Operators
72,3,01/04/2006,2274.12,AUST,Mobile Plant Operators
7A,3,01/04/2006,7727.05,AUST,Drivers and Storepersons
8,2,01/04/2006,28697.67,AUST,LABOURERS
81,3,01/04/2006,4601.02,AUST,Cleaners and Laundry Workers
82,3,01/04/2006,1781.5,AUST,Construction and Mining Labourers
83,3,01/04/2006,4139.63,AUST,Factory Process Workers
84,3,01/04/2006,2487.88,AUST,"Farm, Forestry and Garden Workers"
85,3,01/04/2006,2400.21,AUST,Food Preparation Assistants
89,3,01/04/2006,13402.42,AUST,Other Labourers
0,1,01/04/2006,76563.92,NSW,NSW TOTAL
1,2,01/04/2006,9443.54,NSW,MANAGERS
11,3,01/04/2006,173.99,NSW,"Chief Executives, Managing Directors & Legislators"
12,3,01/04/2006,33.38,NSW,Farmers and Farm Managers
14,3,01/04/2006,1661.09,NSW,"Hospitality, Retail and Service Managers"
1A,3,01/04/2006,4936.2,NSW,Corporate Managers
1B,3,01/04/2006,1858.66,NSW,"Construction, Production and Distribution Managers"
1C,3,01/04/2006,804.21,NSW,"Health, Education, ICT and Other Managers"
2,2,01/04/2006,21531.18,NSW,PROFESSIONALS
21,3,01/04/2006,345.64,NSW,Arts and Media Professionals
24,3,01/04/2006,364.72,NSW,Education Professionals
26,3,01/04/2006,6496.97,NSW,ICT Professionals
27,3,01/04/2006,1522.42,NSW,"Legal, Social and Welfare Professionals"
2A,3,01/04/2006,7469.2,NSW,"Business, Finance and Human Resource Professionals"
2B,3,01/04/2006,692.64,NSW,Information Professionals
2C,3,01/04/2006,1323.59,NSW,"Sales, Marketing & Public Relations Professionals"
2D,3,01/04/2006,575.61,NSW,"Transport and Design Professionals, and Architects"
2E,3,01/04/2006,1490.91,NSW,Engineers
2F,3,01/04/2006,225.76,NSW,Science Professionals and Veterinarians
2G,3,01/04/2006,438.27,NSW,Health Diagnostic and Therapy Professionals
2H,3,01/04/2006,754.17,NSW,Medical Practitioners and Nurses
3,2,01/04/2006,6350.01,NSW,TECHNICIANS AND TRADES WORKERS
31,3,01/04/2006,1716.28,NSW,"Engineering, ICT and Science Technicians"
32,3,01/04/2006,1456.72,NSW,Automotive and Engineering Trades Workers
33,3,01/04/2006,640.17,NSW,Construction Trades Workers
34,3,01/04/2006,676.62,NSW,Electrotechnology and Telecommunications Trades Workers
35,3,01/04/2006,1033.08,NSW,Food Trades Workers
36,3,01/04/2006,257.26,NSW,Skilled Animal and Horticultural Workers
3A,3,01/04/2006,441.71,NSW,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/04/2006,163.55,NSW,"Jewellers, Arts and Other Trades Workers"
4,2,01/04/2006,3918.89,NSW,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/04/2006,236.8,NSW,Health and Welfare Support Workers
42,3,01/04/2006,1288.44,NSW,Carers and Aides
43,3,01/04/2006,1405.42,NSW,Hospitality Workers
44,3,01/04/2006,367.15,NSW,Protective Service Workers
45,3,01/04/2006,633.44,NSW,"Sports, Travel and Personal Service Workers"
5,2,01/04/2006,16218.97,NSW,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/04/2006,4409.98,NSW,Numerical Clerks
56,3,01/04/2006,263.35,NSW,Clerical and Office Support Workers
59,3,01/04/2006,1966.05,NSW,Other Clerical and Administrative Workers
5A,3,01/04/2006,2883.25,NSW,"Office Managers, Administrators and Secretaries"
