Level,Date,NoOfVacancies,SkillLevel,State,Title
0,01/04/2006,220546.24,0,AUST,AUSTRALIAN TOTAL
2,01/04/2006,70588.45,1,AUST,Australia skill level 1
2,01/04/2006,16482.49,2,AUST,Australia skill level 2
2,01/04/2006,24302.73,3,AUST,Australia skill level 3
2,01/04/2006,63439.64,4,AUST,Australia skill level 4
2,01/04/2006,46022.52,5,AUST,Australia skill level 5
1,01/04/2006,76563.92,0,NSW,NSW TOTAL
2,01/04/2006,29030.15,1,NSW,NSW skill level 1
2,01/04/2006,5536.48,2,NSW,NSW skill level 2
2,01/04/2006,7341.41,3,NSW,NSW skill level 3
2,01/04/2006,21961.48,4,NSW,NSW skill level 4
2,01/04/2006,12808.39,5,NSW,NSW skill level 5
1,01/04/2006,51489.9,0,VIC,VIC TOTAL
2,01/04/2006,16408.34,1,VIC,VIC skill level 1
2,01/04/2006,3618.39,2,VIC,VIC skill level 2
2,01/04/2006,5618.25,3,VIC,VIC skill level 3
2,01/04/2006,14975.03,4,VIC,VIC skill level 4
2,01/04/2006,10831.01,5,VIC,VIC skill level 5
1,01/04/2006,50439.2,0,QLD,QLD TOTAL
2,01/04/2006,13544.65,1,QLD,QLD skill level 1
2,01/04/2006,3973.69,2,QLD,QLD skill level 2
2,01/04/2006,6535.85,3,QLD,QLD skill level 3
2,01/04/2006,14496.42,4,QLD,QLD skill level 4
2,01/04/2006,11936.51,5,QLD,QLD skill level 5
1,01/04/2006,13308.13,0,SA,SA TOTAL
2,01/04/2006,2901.78,1,SA,SA skill level 1
2,01/04/2006,947.11,2,SA,SA skill level 2
2,01/04/2006,1757.8,3,SA,SA skill level 3
2,01/04/2006,4002.44,4,SA,SA skill level 4
2,01/04/2006,3783.55,5,SA,SA skill level 5
1,01/04/2006,19833.43,0,WA,WA TOTAL
2,01/04/2006,5755.62,1,WA,WA skill level 1
2,01/04/2006,1637.25,2,WA,WA skill level 2
2,01/04/2006,2172.07,3,WA,WA skill level 3
2,01/04/2006,5875.45,4,WA,WA skill level 4
2,01/04/2006,4374.17,5,WA,WA skill level 5
1,01/04/2006,2832.68,0,TAS,TAS TOTAL
2,01/04/2006,555.89,1,TAS,TAS skill level 1
2,01/04/2006,183.96,2,TAS,TAS skill level 2
2,01/04/2006,295.33,3,TAS,TAS skill level 3
2,01/04/2006,783.5,4,TAS,TAS skill level 4
2,01/04/2006,1038.97,5,TAS,TAS skill level 5
1,01/04/2006,2576.74,0,NT,NT TOTAL
2,01/04/2006,510.35,1,NT,NT skill level 1
2,01/04/2006,228.48,2,NT,NT skill level 2
2,01/04/2006,413,3,NT,NT skill level 3
2,01/04/2006,814.94,4,NT,NT skill level 4
2,01/04/2006,633.58,5,NT,NT skill level 5
1,01/04/2006,3492.46,0,ACT,ACT TOTAL
2,01/04/2006,1769.98,1,ACT,ACT skill level 1
2,01/04/2006,321.38,2,ACT,ACT skill level 2
2,01/04/2006,220.01,3,ACT,ACT skill level 3
2,01/04/2006,699.18,4,ACT,ACT skill level 4
2,01/04/2006,456.64,5,ACT,ACT skill level 5
0,01/04/2007,265070.44,0,AUST,AUSTRALIAN TOTAL
2,01/04/2007,88422.67,1,AUST,Australia skill level 1
2,01/04/2007,21533.09,2,AUST,Australia skill level 2
2,01/04/2007,29073.01,3,AUST,Australia skill level 3
2,01/04/2007,75464.13,4,AUST,Australia skill level 4
2,01/04/2007,50870.73,5,AUST,Australia skill level 5
1,01/04/2007,89060.35,0,NSW,NSW TOTAL
2,01/04/2007,34873.68,1,NSW,NSW skill level 1
2,01/04/2007,6757.48,2,NSW,NSW skill level 2
2,01/04/2007,8843.87,3,NSW,NSW skill level 3
2,01/04/2007,24784.29,4,NSW,NSW skill level 4
2,01/04/2007,13949.39,5,NSW,NSW skill level 5
1,01/04/2007,62143.7,0,VIC,VIC TOTAL
2,01/04/2007,20760.38,1,VIC,VIC skill level 1
2,01/04/2007,4918.78,2,VIC,VIC skill level 2
2,01/04/2007,6829.12,3,VIC,VIC skill level 3
2,01/04/2007,17512.25,4,VIC,VIC skill level 4
2,01/04/2007,12064.39,5,VIC,VIC skill level 5
1,01/04/2007,62611.47,0,QLD,QLD TOTAL
2,01/04/2007,17539.13,1,QLD,QLD skill level 1
2,01/04/2007,5619.84,2,QLD,QLD skill level 2
2,01/04/2007,7784.73,3,QLD,QLD skill level 3
2,01/04/2007,18155.53,4,QLD,QLD skill level 4
2,01/04/2007,13602.25,5,QLD,QLD skill level 5
1,01/04/2007,14759.33,0,SA,SA TOTAL
2,01/04/2007,3408.2,1,SA,SA skill level 1
2,01/04/2007,1091.1,2,SA,SA skill level 2
2,01/04/2007,1925.12,3,SA,SA skill level 3
2,01/04/2007,4424.79,4,SA,SA skill level 4
2,01/04/2007,4012.95,5,SA,SA skill level 5
